sentence,labelled,vectors
"Algeria has one of the largest militaries in Africa and the largest defence budget on the continent; most of Algeria's weapons are imported from Russia, with whom they are a close ally","Algeria has one of the largest militaries in Africa and the largest defence budget on the continent; most of Algeria's weapons are imported from Russia, with whom they are a close ally","Algeria has one of the largest militaries in Africa and the largest defence budget on the continent; most of Algeria's weapons are imported from Russia, with whom they are a close ally"
"Algeria is a member of the African Union, the Arab League, OPEC, the United Nations and is a founding member of the Maghreb Union","Algeria is a member of the African Union, the Arab League, OPEC, the United Nations and is a founding member of the Maghreb Union","Algeria is a member of the African Union, the Arab League, OPEC, the United Nations and is a founding member of the Maghreb Union"
"Azerbaijan , is a country in the South Caucasus region, situated at the crossroads of Southwest Asia","Azerbaijan , is a country in the South Caucasus region, situated at the crossroads of Southwest Asia","Azerbaijan , is a country in the South Caucasus region, situated at the crossroads of Southwest Asia"
The Azerbaijan Democratic Republic proclaimed its independence in 1918 and became the first democratic state in the Muslim-oriented world,The Azerbaijan Democratic Republic proclaimed its independence in 1918 and became the first democratic state in the Muslim-oriented world,The Azerbaijan Democratic Republic proclaimed its independence in 1918 and became the first democratic state in the Muslim-oriented world
The country was incorporated into the Soviet Union in 1920 as the Azerbaijan Soviet Socialist Republic,The country was incorporated into the Soviet Union in 1920 as the Azerbaijan Soviet Socialist Republic,The country was incorporated into the Soviet Union in 1920 as the Azerbaijan Soviet Socialist Republic
"The modern Republic of Azerbaijan proclaimed its independence on 30 August 1991, prior to the official dissolution of the USSR in December 1991","The modern Republic of Azerbaijan proclaimed its independence on 30 August 1991, prior to the official dissolution of the USSR in December 1991","The modern Republic of Azerbaijan proclaimed its independence on 30 August 1991, prior to the official dissolution of the USSR in December 1991"
"These regions are internationally recognized as part of Azerbaijan pending a solution to the status of the Nagorno-Karabakh, found through negotiations facilitated by the OSCE","These regions are internationally recognized as part of Azerbaijan pending a solution to the status of the Nagorno-Karabakh, found through negotiations facilitated by the OSCE","These regions are internationally recognized as part of Azerbaijan pending a solution to the status of the Nagorno-Karabakh, found through negotiations facilitated by the OSCE"
Azerbaijan is a unitary semi-presidential republic,Azerbaijan is a unitary semi-presidential republic,Azerbaijan is a unitary semi-presidential republic
Azerbaijan has diplomatic relations with 158 countries and holds membership in 38 international organizations,Azerbaijan has diplomatic relations with 158 countries and holds membership in 38 international organizations,Azerbaijan has diplomatic relations with 158 countries and holds membership in 38 international organizations
"A member of the United Nations since 1992 after its independence, Azerbaijan was elected to membership in the newly established Human Rights Council by the United Nations General Assembly on 9 May 2006","A member of the United Nations since 1992 after its independence, Azerbaijan was elected to membership in the newly established Human Rights Council by the United Nations General Assembly on 9 May 2006","A member of the United Nations since 1992 after its independence, Azerbaijan was elected to membership in the newly established Human Rights Council by the United Nations General Assembly on 9 May 2006"
"Azerbaijan is also a member state of the Non-Aligned Movement, holds observer status in World Trade Organization, and is a correspondent at the International Telecommunication Union","Azerbaijan is also a member state of the Non-Aligned Movement, holds observer status in World Trade Organization, and is a correspondent at the International Telecommunication Union","Azerbaijan is also a member state of the Non-Aligned Movement, holds observer status in World Trade Organization, and is a correspondent at the International Telecommunication Union"
The Constitution of Azerbaijan does not declare an official religion and all major political forces in the country are secularist,The Constitution of Azerbaijan does not declare an official religion and all major political forces in the country are secularist,The Constitution of Azerbaijan does not declare an official religion and all major political forces in the country are secularist
"Most Azerbaijanis, however, do not actively practice any religion, and the country has been seen to be one of the most irreligious countries in the Muslim world, with 53% stating religion has little to no importance in their lives, according to Pew Research Center and Gallup polls","Most Azerbaijanis, however, do not actively practice any religion, and the country has been seen to be one of the most irreligious countries in the Muslim world, with 53% stating religion has little to no importance in their lives, according to Pew Research Center and Gallup polls","Most Azerbaijanis, however, do not actively practice any religion, and the country has been seen to be one of the most irreligious countries in the Muslim world, with 53% stating religion has little to no importance in their lives, according to Pew Research Center and Gallup polls"
Azerbaijan has a high level of human development which ranks on par with most Eastern European countries,Azerbaijan has a high level of human development which ranks on par with most Eastern European countries,Azerbaijan has a high level of human development which ranks on par with most Eastern European countries
"However, the ruling party, the New Azerbaijan Party, has been accused of authoritarianism and human rights abuses","However, the ruling party, the New Azerbaijan Party, has been accused of authoritarianism and human rights abuses","However, the ruling party, the New Azerbaijan Party, has been accused of authoritarianism and human rights abuses"
"Albania , is a country in Southern and Southeastern Europe","Albania , is a country in Southern and Southeastern Europe","Albania , is a country in Southern and Southeastern Europe"
"Albania is a unitary parliamentary constitutional republic with the capital in Tirana, the country's most populous city and main economic and commercial centre, followed by Durrës","Albania is a unitary parliamentary constitutional republic with the capital in Tirana, the country's most populous city and main economic and commercial centre, followed by Durrës","Albania is a unitary parliamentary constitutional republic with the capital in Tirana, the country's most populous city and main economic and commercial centre, followed by Durrës"
"Albania occupies the southwestern portion of the Balkan Peninsula, bordered by Montenegro to the northwest, Kosovo to the northeast, the Republic of Macedonia to the east, and Greece to the south and southeast","Albania occupies the southwestern portion of the Balkan Peninsula, bordered by Montenegro to the northwest, Kosovo to the northeast, the Republic of Macedonia to the east, and Greece to the south and southeast","Albania occupies the southwestern portion of the Balkan Peninsula, bordered by Montenegro to the northwest, Kosovo to the northeast, the Republic of Macedonia to the east, and Greece to the south and southeast"
"The country features notable diversity with the landscape ranging from the Albanian Alps in the north, Korab Mountains in the east, Ceraunian Mountains in the south and Skanderbeg Mountains in the center","The country features notable diversity with the landscape ranging from the Albanian Alps in the north, Korab Mountains in the east, Ceraunian Mountains in the south and Skanderbeg Mountains in the center","The country features notable diversity with the landscape ranging from the Albanian Alps in the north, Korab Mountains in the east, Ceraunian Mountains in the south and Skanderbeg Mountains in the center"
"It has a coastline on the northern shore of the Mediterranean Sea; the Adriatic Sea to the west and the Ionian Sea to the southwest, forming the Albanian Riviera","It has a coastline on the northern shore of the Mediterranean Sea; the Adriatic Sea to the west and the Ionian Sea to the southwest, forming the Albanian Riviera","It has a coastline on the northern shore of the Mediterranean Sea; the Adriatic Sea to the west and the Ionian Sea to the southwest, forming the Albanian Riviera"
Albania is less than 72 km from Italy across the Strait of Otranto which connects the Adriatic Sea to the Ionian Sea,Albania is less than 72 km from Italy across the Strait of Otranto which connects the Adriatic Sea to the Ionian Sea,Albania is less than 72 km from Italy across the Strait of Otranto which connects the Adriatic Sea to the Ionian Sea
"During the classical times, Albania was inhabited by various ancient Illyrian, Thracian and Greek tribes, as well as several Greek colonies established inside the Illyrian coast","During the classical times, Albania was inhabited by various ancient Illyrian, Thracian and Greek tribes, as well as several Greek colonies established inside the Illyrian coast","During the classical times, Albania was inhabited by various ancient Illyrian, Thracian and Greek tribes, as well as several Greek colonies established inside the Illyrian coast"
"In the late thirteenth century, Charles of Anjou conquered the Albanian territories from the Byzantines and established the medieval Kingdom of Albania, extending from Durrës along the coast to Butrint in the south","In the late thirteenth century, Charles of Anjou conquered the Albanian territories from the Byzantines and established the medieval Kingdom of Albania, extending from Durrës along the coast to Butrint in the south","In the late thirteenth century, Charles of Anjou conquered the Albanian territories from the Byzantines and established the medieval Kingdom of Albania, extending from Durrës along the coast to Butrint in the south"
"Falling in the mid-fifteenth century under Ottoman dominion, the modern nation state of Albania emerged in 1912 following the collapse of the Ottoman Empire and Balkan Wars","Falling in the mid-fifteenth century under Ottoman dominion, the modern nation state of Albania emerged in 1912 following the collapse of the Ottoman Empire and Balkan Wars","Falling in the mid-fifteenth century under Ottoman dominion, the modern nation state of Albania emerged in 1912 following the collapse of the Ottoman Empire and Balkan Wars"
"The modern Kingdom of Albania was invaded by Italy in 1939, which formed Greater Albania, before becoming a Nazi German protectorate in 1943","The modern Kingdom of Albania was invaded by Italy in 1939, which formed Greater Albania, before becoming a Nazi German protectorate in 1943","The modern Kingdom of Albania was invaded by Italy in 1939, which formed Greater Albania, before becoming a Nazi German protectorate in 1943"
"In the aftermath of the Revolutions of 1991, the Socialist Republic was dissolved and the fourth Republic of Albania was established","In the aftermath of the Revolutions of 1991, the Socialist Republic was dissolved and the fourth Republic of Albania was established","In the aftermath of the Revolutions of 1991, the Socialist Republic was dissolved and the fourth Republic of Albania was established"
Albania is a democratic and developing country with an upper-middle income economy,Albania is a democratic and developing country with an upper-middle income economy,Albania is a democratic and developing country with an upper-middle income economy
"Following the collapse of communism in 1990, Albania went through a process of transition from a centralized economy to a market-based economy","Following the collapse of communism in 1990, Albania went through a process of transition from a centralized economy to a market-based economy","Following the collapse of communism in 1990, Albania went through a process of transition from a centralized economy to a market-based economy"
Albania has a high Human Development Index and is ranked thirty-seventh in the world for life expectancy,Albania has a high Human Development Index and is ranked thirty-seventh in the world for life expectancy,Albania has a high Human Development Index and is ranked thirty-seventh in the world for life expectancy
"Albania is a member of the United Nations, World Bank, UNESCO, NATO, WTO, CoE, OSCE and OIC","Albania is a member of the United Nations, World Bank, UNESCO, NATO, WTO, CoE, OSCE and OIC","Albania is a member of the United Nations, World Bank, UNESCO, NATO, WTO, CoE, OSCE and OIC"
"Furthermore, Albania is one of the founding members of the Energy Community, including the Organization of the Black Sea Economic Cooperation, and Union for the Mediterranean","Furthermore, Albania is one of the founding members of the Energy Community, including the Organization of the Black Sea Economic Cooperation, and Union for the Mediterranean","Furthermore, Albania is one of the founding members of the Energy Community, including the Organization of the Black Sea Economic Cooperation, and Union for the Mediterranean"
"Armenia , ; Armenian: ????????, translit","Armenia , ; Armenian: ????????, translit","Armenia , ; Armenian: ????????, translit"
"Hayastan, IPA: [h?j?s?t?n]), officially the Republic of Armenia (Armenian: ????????? ???????????????, translit","Hayastan, IPA: [h?j?s?t?n]), officially the Republic of Armenia (Armenian: ????????? ???????????????, translit","Hayastan, IPA: [h?j?s?t?n]), officially the Republic of Armenia (Armenian: ????????? ???????????????, translit"
"Located in West Asia on the Armenian Highlands, it is bordered by Turkey to the west, Georgia to the north, the de facto independent Republic of Artsakh and Azerbaijan to the east, and Iran and Azerbaijan's exclave of Nakhchivan to the south","Located in West Asia on the Armenian Highlands, it is bordered by Turkey to the west, Georgia to the north, the de facto independent Republic of Artsakh and Azerbaijan to the east, and Iran and Azerbaijan's exclave of Nakhchivan to the south","Located in West Asia on the Armenian Highlands, it is bordered by Turkey to the west, Georgia to the north, the de facto independent Republic of Artsakh and Azerbaijan to the east, and Iran and Azerbaijan's exclave of Nakhchivan to the south"
"Armenia is a unitary, multi-party, democratic nation-state with an ancient cultural heritage","Armenia is a unitary, multi-party, democratic nation-state with an ancient cultural heritage","Armenia is a unitary, multi-party, democratic nation-state with an ancient cultural heritage"
Urartu was established in 860 BC and by the 6th century BC it was replaced by the Satrapy of Armenia,Urartu was established in 860 BC and by the 6th century BC it was replaced by the Satrapy of Armenia,Urartu was established in 860 BC and by the 6th century BC it was replaced by the Satrapy of Armenia
In the 1st century BC the Kingdom of Armenia reached its height under Tigranes the Great,In the 1st century BC the Kingdom of Armenia reached its height under Tigranes the Great,In the 1st century BC the Kingdom of Armenia reached its height under Tigranes the Great
Armenia became the first state in the world to adopt Christianity as its official religion,Armenia became the first state in the world to adopt Christianity as its official religion,Armenia became the first state in the world to adopt Christianity as its official religion
The ancient Armenian kingdom was split between the Byzantine and Sasanian Empires around the early 5th century,The ancient Armenian kingdom was split between the Byzantine and Sasanian Empires around the early 5th century,The ancient Armenian kingdom was split between the Byzantine and Sasanian Empires around the early 5th century
"Under the Bagratuni dynasty, the Bagratid Kingdom of Armenia was restored in the 9th century","Under the Bagratuni dynasty, the Bagratid Kingdom of Armenia was restored in the 9th century","Under the Bagratuni dynasty, the Bagratid Kingdom of Armenia was restored in the 9th century"
"Declining due to the wars against the Byzantines, the kingdom fell in 1045 and Armenia was soon after invaded by the Seljuk Turks","Declining due to the wars against the Byzantines, the kingdom fell in 1045 and Armenia was soon after invaded by the Seljuk Turks","Declining due to the wars against the Byzantines, the kingdom fell in 1045 and Armenia was soon after invaded by the Seljuk Turks"
An Armenian principality and later a kingdom Cilician Armenia was located on the coast of the Mediterranean Sea between the 11th and 14th centuries,An Armenian principality and later a kingdom Cilician Armenia was located on the coast of the Mediterranean Sea between the 11th and 14th centuries,An Armenian principality and later a kingdom Cilician Armenia was located on the coast of the Mediterranean Sea between the 11th and 14th centuries
"Between the 16th century and 19th century, the traditional Armenian homeland composed of Eastern Armenia and Western Armenia came under the rule of the Ottoman and Iranian empires, repeatedly ruled by either of the two over the centuries","Between the 16th century and 19th century, the traditional Armenian homeland composed of Eastern Armenia and Western Armenia came under the rule of the Ottoman and Iranian empires, repeatedly ruled by either of the two over the centuries","Between the 16th century and 19th century, the traditional Armenian homeland composed of Eastern Armenia and Western Armenia came under the rule of the Ottoman and Iranian empires, repeatedly ruled by either of the two over the centuries"
"By the 19th century, Eastern Armenia had been conquered by the Russian Empire, while most of the western parts of the traditional Armenian homeland remained under Ottoman rule","By the 19th century, Eastern Armenia had been conquered by the Russian Empire, while most of the western parts of the traditional Armenian homeland remained under Ottoman rule","By the 19th century, Eastern Armenia had been conquered by the Russian Empire, while most of the western parts of the traditional Armenian homeland remained under Ottoman rule"
"During World War I, Armenians living in their ancestral lands in the Ottoman Empire were systematically exterminated in the Armenian Genocide","During World War I, Armenians living in their ancestral lands in the Ottoman Empire were systematically exterminated in the Armenian Genocide","During World War I, Armenians living in their ancestral lands in the Ottoman Empire were systematically exterminated in the Armenian Genocide"
"In 1918, following the Russian Revolution, all non-Russian countries declared their independence after the Russian Empire ceased to exist, leading to the establishment of the First Republic of Armenia","In 1918, following the Russian Revolution, all non-Russian countries declared their independence after the Russian Empire ceased to exist, leading to the establishment of the First Republic of Armenia","In 1918, following the Russian Revolution, all non-Russian countries declared their independence after the Russian Empire ceased to exist, leading to the establishment of the First Republic of Armenia"
"In 1936, the Transcaucasian state was dissolved, transforming its constituent states, including the Armenian Soviet Socialist Republic, into full Union republics","In 1936, the Transcaucasian state was dissolved, transforming its constituent states, including the Armenian Soviet Socialist Republic, into full Union republics","In 1936, the Transcaucasian state was dissolved, transforming its constituent states, including the Armenian Soviet Socialist Republic, into full Union republics"
The modern Republic of Armenia became independent in 1991 during the dissolution of the Soviet Union,The modern Republic of Armenia became independent in 1991 during the dissolution of the Soviet Union,The modern Republic of Armenia became independent in 1991 during the dissolution of the Soviet Union
"The Republic of Armenia recognises the Armenian Apostolic Church, the world's oldest national church, as the country's primary religious establishment","The Republic of Armenia recognises the Armenian Apostolic Church, the world's oldest national church, as the country's primary religious establishment","The Republic of Armenia recognises the Armenian Apostolic Church, the world's oldest national church, as the country's primary religious establishment"
The unique Armenian alphabet was invented by Mesrop Mashtots in 405 AD,The unique Armenian alphabet was invented by Mesrop Mashtots in 405 AD,The unique Armenian alphabet was invented by Mesrop Mashtots in 405 AD
"Armenia is a member of the Eurasian Economic Union, the Council of Europe and the Collective Security Treaty Organization","Armenia is a member of the Eurasian Economic Union, the Council of Europe and the Collective Security Treaty Organization","Armenia is a member of the Eurasian Economic Union, the Council of Europe and the Collective Security Treaty Organization"
"Armenia supports the de facto independent Republic of Artsakh, which was proclaimed in 1991","Armenia supports the de facto independent Republic of Artsakh, which was proclaimed in 1991","Armenia supports the de facto independent Republic of Artsakh, which was proclaimed in 1991"
"Andorra , is a sovereign landlocked microstate in Southwestern Europe, located in the eastern Pyrenees mountains and bordered by France in the north, and Spain in the south","Andorra , is a sovereign landlocked microstate in Southwestern Europe, located in the eastern Pyrenees mountains and bordered by France in the north, and Spain in the south","Andorra , is a sovereign landlocked microstate in Southwestern Europe, located in the eastern Pyrenees mountains and bordered by France in the north, and Spain in the south"
"Andorra is the sixth-smallest nation in Europe, having an area of 468 km2 and a population of approximately 77,281","Andorra is the sixth-smallest nation in Europe, having an area of 468 km2 and a population of approximately 77,281","Andorra is the sixth-smallest nation in Europe, having an area of 468 km2 and a population of approximately 77,281"
Andorra is the 16th-smallest country in the world by land and 11th-smallest country by population,Andorra is the 16th-smallest country in the world by land and 11th-smallest country by population,Andorra is the 16th-smallest country in the world by land and 11th-smallest country by population
"Its capital Andorra la Vella is the highest capital city in Europe, at an elevation of 1,023 metres above sea level","Its capital Andorra la Vella is the highest capital city in Europe, at an elevation of 1,023 metres above sea level","Its capital Andorra la Vella is the highest capital city in Europe, at an elevation of 1,023 metres above sea level"
Andorra's tourism services an estimated 10,Andorra's tourism services an estimated 10,Andorra's tourism services an estimated 10
"In 2013, the people of Andorra had the highest life expectancy in the world at 81 years, according to the Global Burden of Disease Study","In 2013, the people of Andorra had the highest life expectancy in the world at 81 years, according to the Global Burden of Disease Study","In 2013, the people of Andorra had the highest life expectancy in the world at 81 years, according to the Global Burden of Disease Study"
"Angola , is a country in Southern Africa","Angola , is a country in Southern Africa","Angola , is a country in Southern Africa"
The capital and largest city of Angola is Luanda,The capital and largest city of Angola is Luanda,The capital and largest city of Angola is Luanda
"Although inhabited since the Paleolithic Era, what is now Angola was molded by Portuguese colonisation","Although inhabited since the Paleolithic Era, what is now Angola was molded by Portuguese colonisation","Although inhabited since the Paleolithic Era, what is now Angola was molded by Portuguese colonisation"
"The Portuguese colony, that became Angola did not have its present borders until the early 20th century, because of resistance by groups such as the Cuamato, the Kwanyama and the Mbunda","The Portuguese colony, that became Angola did not have its present borders until the early 20th century, because of resistance by groups such as the Cuamato, the Kwanyama and the Mbunda","The Portuguese colony, that became Angola did not have its present borders until the early 20th century, because of resistance by groups such as the Cuamato, the Kwanyama and the Mbunda"
"After a protracted anti-colonial struggle, independence was achieved in 1975 as the Marxist-Leninist People's Republic of Angola, a one-party state supported by the Soviet Union and Cuba","After a protracted anti-colonial struggle, independence was achieved in 1975 as the Marxist-Leninist People's Republic of Angola, a one-party state supported by the Soviet Union and Cuba","After a protracted anti-colonial struggle, independence was achieved in 1975 as the Marxist-Leninist People's Republic of Angola, a one-party state supported by the Soviet Union and Cuba"
"The civil war between the ruling People's Movement for the Liberation of Angola , supported by the United States and apartheid South Africa, lasted until 2002","The civil war between the ruling People's Movement for the Liberation of Angola , supported by the United States and apartheid South Africa, lasted until 2002","The civil war between the ruling People's Movement for the Liberation of Angola , supported by the United States and apartheid South Africa, lasted until 2002"
"Angola has vast mineral and petroleum reserves, and its economy is among the fastest-growing in the world, especially since the end of the civil war","Angola has vast mineral and petroleum reserves, and its economy is among the fastest-growing in the world, especially since the end of the civil war","Angola has vast mineral and petroleum reserves, and its economy is among the fastest-growing in the world, especially since the end of the civil war"
"But the standard of living remains low for most of the population, and life expectancy in Angola is among the lowest in the world, while infant mortality is among the highest","But the standard of living remains low for most of the population, and life expectancy in Angola is among the lowest in the world, while infant mortality is among the highest","But the standard of living remains low for most of the population, and life expectancy in Angola is among the lowest in the world, while infant mortality is among the highest"
"Angola's economic growth is highly uneven, with most of the nation's wealth concentrated in a disproportionately small sector of the population","Angola's economic growth is highly uneven, with most of the nation's wealth concentrated in a disproportionately small sector of the population","Angola's economic growth is highly uneven, with most of the nation's wealth concentrated in a disproportionately small sector of the population"
"Angola is a member state of the United Nations, OPEC, African Union, the Community of Portuguese Language Countries, and the Southern African Development Community","Angola is a member state of the United Nations, OPEC, African Union, the Community of Portuguese Language Countries, and the Southern African Development Community","Angola is a member state of the United Nations, OPEC, African Union, the Community of Portuguese Language Countries, and the Southern African Development Community"
